"CTRL_1" "CTRL_2" "CTRL_3" "IPD_1" "IPD_2" "IPD_3"
"C00503" 0.022521807 0.037599787 0.045022108 0.031234366 0.026458334 0.038768278
"C00183" 0.497541086 1.662783443 0.882137836 0.715088123 0.793736864 0.765419847
"C00105" 0.544410374 1.824284458 1.226757792 0.869403311 0.819515569 1.136214951
"C00086" 0.021119231 0.032383822 0.027190947 0.022607537 0.025034109 0.027449951
"C00082" 0.52082251 1.692604075 0.926982748 0.7028186 0.740180372 0.771812416
"C00178" 0.004430618 0.008177922 0.010023259 0.00845961 0.005415073 0.008918036
"C00188" 1.914205519 3.588342176 2.439606484 2.037773959 1.897271525 2.944235831
"C01620" 0.059540516 0.174749202 0.103714551 0.089209042 0.087109389 0.101272835
"C00245" 0.083826557 0.204482786 0.158281778 0.096691845 0.095456491 0.13761339
"C00089" 0.011751873 0.063814599 0.019582992 0.012153037 0.021861739 0.039904669
"C00065" 1.436027459 2.946426133 2.021557249 1.649122883 1.479964467 2.380302837
"C00121" 0.029575643 0.058070412 0.031645001 0.029427791 0.035289195 0.035607922
"C00117" 0.038747577 0.134839742 0.087583353 0.06111835 0.036185111 0.087617796
"C00013" 0.206479151 0.805418758 1.765209847 0.580228941 0.467106479 1.378381605
"C01879" 2.66601241 4.830061002 5.573588089 4.090227267 3.646331488 5.331917855
"C03722" 1.901409293 2.244655068 1.659642581 1.245799444 1.473090736 1.27030109
"C00134" 0.826555026 2.271324445 1.651116674 1.150773418 1.014225905 1.472661279
"C00148" 0.522890578 1.707262991 1.141206357 0.801234386 0.740349271 1.182912836
"C00079" 0.376544289 1.184135209 0.66686275 0.524383643 0.552363249 0.585328004
"C00864" 0.281249988 0.500084615 0.453918166 0.299067219 0.261768799 0.395450867
"C00077" 0.00790152 0.002975461 0.012516069 0.010517361 0.009929674 0.004244337
"C01933" 0.330371901 0.789786324 1.052617383 0.486753933 0.418944122 0.900940897
"C02714" 0.240984983 0.838132724 0.520831386 0.40651088 0.393900884 0.404754705
"C00025" 0.006953471 0.005107016 0.007999725 0.003399377 0.008138932 0.009850054
"C12270" 0.024168888 0.128562307 0.045169606 0.042465166 0.026353105 0.043985808
"C04501" 0.115227638 0.407388918 0.171766176 0.148449494 0.211253279 0.125085667
"C01042" 0.417233656 0.826170078 0.612941442 0.598246891 0.356388196 0.642228688
"C00137" 2.852843903 6.534480058 8.417875958 5.400543543 4.78161284 6.126539715
"C00073" 0.094959931 0.332339239 0.182676254 0.128367756 0.126491001 0.16869438
"C00159" 0.039996046 0.124259723 0.054219866 0.045095323 0.055498125 0.081673949
"C00208" 0.008465135 0.136939038 0.027544572 0.006104602 0.001748382 0.045638367
"C00149" 0.160554386 0.222990137 0.389885456 0.237572502 0.223167671 0.391752758
"C00047" 0.622523311 2.050364098 1.177483411 0.873018131 0.93458932 0.899215673
"C00123" 0.1366645 0.446359748 0.232497167 0.188576277 0.214896239 0.203737481
"C00186" 0.055520253 0.124963007 0.040327279 0.083063011 0.314312787 0.114824381
"C00407" 0.687835973 2.26574389 1.197690409 0.980152392 1.09239989 1.041702993
"C03547" 0.162598561 0.029142812 0.330310651 0.032366035 0.032825281 0.363404414
"C00988" 0.0292789 0.151789842 0.061077009 0.029704089 0.026203483 0.086910175
"C00037" 3.428102135 7.000782069 4.827115155 3.574217007 3.611591819 5.575278799
"C00116" 0.369153379 0.487388841 0.479412018 0.448380795 0.381801386 0.391516844
"C00093" 0.128193937 0.094546518 0.12000551 0.043669627 0.054274214 0.261254176
"C00118" 0.873818364 0.975899388 0.97949178 0.922531218 0.8270258 0.866140056
"C00302" 2.38964327 4.133012409 5.146475396 3.87481123 3.262221488 4.775162856
"C00191" 0.013694894 0.018604425 0.015749772 0.010189753 0.011339091 0.010464643
"C00092" 0.020471375 0.012510637 0.009408749 0.012875338 0.025395579 0.017240293
"C00031" 19.24722196 46.31672382 29.09672112 26.07022863 31.01867979 22.63790819
"C00257" 0.009496511 0.013064891 0.025317559 0.003665549 0.009433986 0.012301666
"C06893" 0.073875445 0.234560003 0.205598888 0.116279356 0.060437945 0.198493631
"C00334" 0.070802453 0.262143855 0.171404954 0.110161088 0.100750927 0.134286426
"C00122" 0.076419467 0.094885138 0.166240393 0.10330954 0.094951633 0.179156196
"C00095" 0.782163248 0.62841435 1.748168259 1.461623934 1.301714931 1.477087873
"C00354" 0.300627307 1.16788354 0.613669644 0.526089683 0.177671049 0.926845395
"C01796" 0.322252477 0.322498538 0.336272839 0.32495291 0.329407609 0.295152057
"C00279" 0.046776265 0.05729688 0.073659628 0.054219887 0.066096481 0.070918342
"C01801" 0.181112814 0.571400687 0.279946668 0.225517064 0.236621222 0.272168599
"C00380" 0.040116891 0.068701763 0.075491037 0.059070676 0.049512294 0.067491415
"C00791" 0.013201577 0.045385017 0.015346533 0.003968166 0.00418168 0.017240989
"C00158" 0.055833327 0.117645761 0.171352017 0.064182096 0.064263262 0.115621833
"C00049" 1.091582916 1.240564216 1.76916263 1.198147414 1.61154623 1.495085739
"C00072" 0.091624757 0.420644967 0.168923672 0.153101753 0.181294268 0.123226568
"C01401" 1.11254292 2.473572185 2.589417334 1.8589252 1.799514778 3.329169133
"C00020" 0.090649866 0.440193164 0.454705061 0.161117631 0.074265224 0.535983207
"C00345" 0.019614692 0.036026782 0.049332969 0.026910617 0.028299028 0.043242447
"C00026" 0.000222986 0.031952324 0.027210509 0.007940609 0.007918635 0.036113265
