entrezgene_id	ensembl_gene_id_version
403277	ENSG00000206536.1
403278	ENSG00000196098.2
403284	ENSG00000205327.3
406902	ENSG00000284038.1
406991	ENSG00000284190.1
4158	ENSG00000185231.5
4342	ENSG00000172680.1
441608	ENSG00000172769.4
441669	ENSG00000182652.4
441670	ENSG00000176299.5
442184	ENSG00000204703.5
442191	ENSG00000204695.4
442194	ENSG00000206474.8
4544	ENSG00000134640.3
4821	ENSG00000125820.6
4852	ENSG00000122585.8
4879	ENSG00000120937.9
4988	ENSG00000112038.18
50508	ENSG00000074771.4
50616	ENSG00000127318.11
5143	ENSG00000285188.1
5161	ENSG00000163114.6
5173	ENSG00000101327.9
51802	ENSG00000256394.3
53842	ENSG00000177300.7
5506	ENSG00000154415.8
551	ENSG00000101200.5
5535	ENSG00000188386.8
5568	ENSG00000165059.8
56656	ENSG00000278889.4
57369	ENSG00000159248.5
6346	ENSG00000108702.4
6359	ENSG00000275718.2
6514	ENSG00000163581.14
6750	ENSG00000157005.4
7299	ENSG00000077498.9
79295	ENSG00000230301.6
79324	ENSG00000278870.2
79339	ENSG00000183251.4
79345	ENSG00000279012.2
79473	ENSG00000181001.3
79541	ENSG00000180658.4
79544	ENSG00000155249.5
8074	ENSG00000118972.3
81050	ENSG00000196578.4
81061	ENSG00000130538.6
81099	ENSG00000176695.8
81168	ENSG00000167822.3
81300	ENSG00000181927.4
81309	ENSG00000181939.3
81318	ENSG00000221840.4
81328	ENSG00000181958.5
81341	ENSG00000172772.3
81448	ENSG00000196171.3
81466	ENSG00000197454.2
81469	ENSG00000177476.3
81470	ENSG00000177489.1
81697	ENSG00000168131.4
81797	ENSG00000112462.8
83447	ENSG00000151475.6
8386	ENSG00000262628.1
8388	ENSG00000127780.3
8431	ENSG00000131910.5
84647	ENSG00000138308.6
90665	ENSG00000092377.15
9436	ENSG00000096264.14
9623	ENSG00000213231.13
9971	ENSG00000012504.15
