Gene,CNT38,CNT48,CNT56,IPD12,IPD13,IPD28
LYPD1,3.25554375,3.34115425,1.9129665,4.00009525,3.18164075,0.763772
LYPD2,0,0,0,0,0,0
LYPD3,0.254218,0.108438,0.202215,0.362478,0.255809,0.647375
LYPD4,0.0694795,0.01619025,0.01658005,0.0371982,0.02621785,0
LYPD5,0,0,0.017671441,0,0,0.032638713
LYPD6,1.7041325,2.050885,1.511895,2.467655,1.213575192,1.975015
LYPD6B,0.117250833,0.116699,0.065286217,0.410616017,0.0648155,0.030718
LYPD8,0,0,0.0372946,0,0,0
LYPLA1,6.3658085,5.369155,4.924583334,6.484481667,6.394643333,6.562725
LYPLA2,39.6056,42.7188,30.4284,42.0644,36.0655,45.3347
LYPLAL1,1.043361,0.9004482,1.0978778,1.111553,1.0078978,1.4953566
LYRM1,1.207937286,0.793643143,1.461291714,1.541372143,1.309972571,1.627807857
LYRM2,3.7749495,4.1408395,4.0929885,5.04748,4.613905,4.631015
LYRM4,5.748732,5.6591848,4.51006466,6.7821342,5.15411372,5.5493468
LYRM7,3.55982,2.7200125,4.52322,3.50899,2.65194,3.58581507
LYRM9,1.25371,0.727292,2.01045,1.76973,1.1354,2.4755
LYSMD1,1.835985,1.839475,2.1671535,2.5084,1.877354,1.958745565
LYSMD2,0.326435,0.76696,0.3115915,0.930897,0.602211,0.2557787
LYSMD3,2.85357,3.04596,2.114445,4.99275966,2.51927,3.805881185
LYSMD4,1.255193,1.20533123,1.590513286,1.414407143,1.036770429,1.858423714
LYST,0.560013,0.579171333,0.753145667,0.659335333,0.518074333,0.860446667
LYVE1,0.0274245,0,0.0523549,0,0,0.0644654
LYZ,0.917833,0.986006,1.28709,0.760849,0.280538,1.09034
LYZL1,0,0,0,0,0,0
LYZL2,0,0,0,0.125031,0,0
LYZL4,0,0,0,0,0,0
LYZL6,0,0,0,0,0,0
LZIC,2.5492418,2.190944008,2.04711596,3.107466006,2.6900568,2.871313825
LZTFL1,1.194014,1.28079135,1.10782575,2.2967455,1.5074205,1.550931
LZTR1,19.1955,25.082,19.9752,21.9567,14.1544,21.9542
LZTS1,1.72344,2.76303,1.48387,2.67965,2.25617,2.82475
LZTS2,9.4394225,11.65225953,8.5858225,9.9118025,8.057885,10.66822591
LZTS3,8.46397,7.41215,9.50213,10.4056,6.23043,11.5494
M1AP,0.19932799,0.102589051,0.252722418,0.14883434,0.156895093,0.153767903
M6PR,84.779655,55.377355,69.071275,104.692355,67.41176,64.36905
MAATS1,1.6328865,1.308997325,1.75325,2.520410688,1.473212,1.126973073
MAB21L1,0.0232252,0.118882,0,0.0299239,0.0175279,0
MAB21L2,0.049033,0.418304,0.187213,0.0262177,0.462561,0.489853
MAB21L3,7.30099,5.98401,8.57905,13.0507,6.99978,7.41294
MACC1,0.202912,0.289116,0.35375,0.241819,0.221945,0.249713
MACF1,33.01524,15.74126,22.34199,35.191745,22.94244,18.779815
MACO1,10.55385,11.2792,9.33065,16.2442375,10.20935,12.4754745
MACROD1,17.4102,14.9574,15.3897,15.996,14.5736,14.6985
MACROD2,0.142657214,2.1246675,0,0.137705,1.25E-10,0.27519
MAD1L1,2.996716667,3.03908,1.688563033,3.418561217,2.883747667,3.039325
MAD2L1,66.7336,72.7526,58.2293,86.9075,73.3238,76.9643
MAD2L1BP,9.836955,10.8783915,8.2547075,13.587725,11.682618,9.6311605
MAD2L2,39.1874,32.716,30.3444,33.98025,36.4116,38.74345
MADCAM1,0.060168,0.02566495,0,0.0643435,0.02270425,0.070717
MADD,1.150290135,1.136765489,1.210052622,1.344542483,1.071109975,1.202589236
MAEA,4.727402571,7.346299286,3.633213,7.6126518,5.850069571,5.476182857
MAEL,0.14211,0.198147667,0.074495,0.258351,0.117974333,0.100215333
MAF,0.0257541,0.1200325,0.0368745,0.0199204,0.04859105,0.15134715
MAF1,24.1105,35.3743,21.7012,25.4375,25.9812,32.5218
MAFA,0.0290643,0.024795,0.0554853,0.0310811,0,0.03416
MAFB,0.274716,1.10485,0.149842,0.25181,0.385034,1.49909
MAFF,1.1440325,0.6565115,0.916195,1.07619,1.035145,0.56045425
MAFG,9.73612,8.550665,7.38874,7.092685,6.829645,7.2192
MAFK,0.4642,0.437784,0.306032,0.337787,0.173666,0.547998
MAG,0,0,0,0,0,0
MAGEA1,0,0,0,0,0,0
MAGEA10,0.260018,0.155485,0.125598467,0.1007941,0.106518033,0.072301533
MAGEA10-MAGEA5,0,0,0,0,0,0
MAGEA11,0,0,0,0,0,0
MAGEA12,0,0,0,0,0,0.017092067
MAGEA2,0,0,0,0,0.003269329,0
MAGEA2B,0,0,0,0,0.001679883,0
MAGEA3,0,0,0,0,0,0
MAGEA4,0,0,0,0,0,0
MAGEA6,0,0.01788875,0,0,0,0
MAGEA8,0.012990833,0.0221652,0.012400133,0,0,0
MAGEA9,0.0396397,0.0676034,0,0,0.0299041,0
MAGEA9B,3.40E-05,8.83E-05,0,0,3.73E-05,0
MAGEB1,0,0,0,0,0,0
MAGEB10,0.601743,0.266359,0.559389,0.681845,0.624846,0.445512
MAGEB16,0,0,0,0,0,0
MAGEB17,0.166246,0.0945503,0.158686,0.0592605,0.083643,0.195393
MAGEB18,0,0,0,0,0,0
MAGEB2,0,0,0,0,0,0
MAGEB3,0,0,0.0285907,0,0,0
MAGEB4,0,0,0,0.0329916,0,0
MAGEB5,0,0,0,0,0.048179,0
MAGEB6,0.0363132,0,0,0,0.109621,0
MAGEC1,0,0,0,0,0.0457878,0.017827
MAGEC2,0,0,0,0,0.267139,0
MAGEC3,0.02117025,0,0,0.0226393,0,0
MAGED1,46.41945,43.20457333,37.80944667,67.74361333,56.33887,53.98299
MAGED2,50.64643,47.97734,34.61099,76.90624,62.78189333,47.74641333
MAGED4,33.6967,26.68463,26.456375,45.911875,26.756445,29.137125
MAGED4B,33.696575,26.68463,26.42855,45.911175,26.756445,29.137125
MAGEE1,5.24279,4.38108,4.065,8.05589,4.98351,5.53107
MAGEE2,0.0307433,0.0262274,0.0293453,0.0328766,0,0.469734
MAGEF1,52.9813,54.2092,37.5691,76.6194,63.1491,61.9157
MAGEH1,39.0573,3.45132,30.9406,66.4969,26.3854,34.6343
MAGEL2,9.16306,4.68245,3.7838,5.31521,6.30547,15.2674
MAGI1,3.830573667,3.427189667,2.835869,4.860948667,3.522990667,3.978034
MAGI2,0.6442865,0.90221488,0.732672455,1.473085,1.031235371,0.68749236
MAGI3,2.43258,1.89089,2.88613,2.97902,2.15771,3.29091
MAGIX,0.0177545,0.0530128,0.025420733,0.056959667,0.038477833,0.010433667
MAGOH,69.4321,75.815,56.2417,86.7998,75.5563,69.3912
MAGOHB,2.497778,1.885352,2.010982,2.841684,2.0664622,2.026366
MAGT1,74.7728,54.2459,64.4335,110.232,65.4014,59.7179
MAIP1,11.4195,11.5754,7.30832,16.6571,13.4755,11.3468
MAJIN,0,0,0,0,0,0
MAK,0.3710218,0.2819982,0.304646,0.4239264,0.2050096,0.315365116
MAK16,9.69821,7.18686,7.07124,11.0206,9.14055,6.6771
MAL,0,0.208154448,0,0.13039325,0.03943775,0.02386705
MAL2,3.2225,2.07211,2.18072,6.22358,3.93839,0.93274
MALL,0.333426,0.28002,0.512439,0.764551,0.35142,0.0873355
MALRD1,0.0186194,0.0158843,0.0355454,0.0497785,0.0562077,0
MALSU1,32.8183,30.0791,21.311,31.7035,26.7934,26.2406
MALT1,4.585175,2.82656,3.232805006,4.05209,3.068445085,3.20101565
MAMDC2,0.035628,0.014166155,0,0.1371665,0.22043405,0.014551455
MAMDC4,17.8914,11.6329,23.6808,10.6896,7.77624,21.9221
MAML1,19.2773,19.2443,17.0126,24.8465,17.4667,24.0351
MAML2,0.989055,1.93292,0.720905,2.02899,2.1681,1.4583
MAML3,4.00912,5.45363,1.60306,9.49301,3.5303,2.15428
MAMLD1,0.377820333,0.928817,0.211836349,0.878995335,0.523282,0.785068333
MAMSTR,0.167588667,0.197987,0.194247,0.148909,0.090341667,0.084416333
MAN1A1,19.772,16.9228,10.1149,34.5319,11.2645,7.29052
MAN1A2,16.618,12.6067,11.4271,25.3431,13.8605,13.0762
MAN1B1,18.48619333,13.15942333,14.53198333,20.90674667,14.68319333,15.60261333
MAN1C1,2.411785,3.93957,4.149465,1.60029,3.13121,5.210156
MAN2A1,19.3605,10.088,15.888,19.0308,14.5773,14.1835
MAN2A2,6.41360204,4.527818,6.36724456,7.43376,4.234488,4.5695578
MAN2B1,23.8317,23.422965,19.20994,20.8777335,20.35422,21.545495
MAN2B2,5.64111,6.00334,3.7561665,5.028475,4.6843295,6.363593
MAN2C1,9.568605,9.14518,10.61222,8.264655,6.588785,8.6846925
MANBA,37.4185,25.7991,33.1383,39.3036,27.3875,21.3734
MANBAL,31.46655,21.75655,19.97415,32.63135,24.0416,23.7147
MANEA,28.9292,18.1901,19.9612,35.4274,21.4805,13.9428
MANEAL,5.371709667,5.956059,3.796323333,8.955666667,2.71047,3.709422667
MANF,192.73,159.988,136.942,212.307,143.688,127.507
MANSC1,8.36734,6.72693,4.60616,13.6121,7.29964,5.19133
MANSC4,0.295706,0.317019,0.636017,0.624717,0.184552,0.624598
MAOA,0.255143,0.4249645,0.2899305,0.584675,0.268456,0.3926955
MAOB,1.13198,1.14537,0.92974,2.84334,1.33112,0.866338
MAP10,0.296449,0.080929,0.430113,1.00178,0.241626,0.13937
MAP1A,8.63245,6.21406,5.04857,10.7525,9.70723,7.69269
MAP1B,44.9456,36.99305,39.8688,54.7807,41.46365,73.7303
MAP1LC3A,2.5348525,1.57421,1.240955,2.511485,0.970382,0.394325
MAP1LC3B,17.5368,18.6579,13.6138,22.4437,20.5054,28.287
MAP1LC3B2,1.9898,0.844481,2.01529,2.72736,2.91258,2.52059
MAP1LC3C,0.689543,1.55496,0.857277,2.00723,1.61284,0.625509
MAP1S,11.125035,11.6088495,6.002575,11.24602,9.081064,12.133849
