Query,Match,HMDB,PubChem,KEGG,SMILES,Comment
"Fructose_1,6-bisphosphate","Fructose 1,6-bisphosphate",HMDB0001058,10267,C00354,O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O,1
Erythrose,Erythrose,HMDB0002649,439574,C01796,[H][C@@]1(O)COC([H])(O)[C@]1([H])O,1
Erythrose-4-phosphate,D-Erythrose 4-phosphate,HMDB0001321,122357,C00279,O[C@H](COP(O)(O)=O)[C@@H](O)C=O,1
Erythronic_acid,Erythronic acid,HMDB0000613,2781043,NA,OC[C@@H](O)[C@@H](O)C(O)=O,1
Erythronic_acid_4-Phosphate,NA,NA,NA,NA,NA,0
Deoxyribose,Deoxyribose,HMDB0003224,22833604,C01801,OC[C@@H]1O[C@H](O)C[C@H]1O,1
Dehydroascorbic_acid_dimer,NA,NA,NA,NA,NA,0
Cytosine,Cytosine,HMDB0000630,597,C00380,NC1=CC=NC(=O)N1,1
Creatinine,Creatinine,HMDB0000562,588,C00791,CN1CC(=O)NC1=N,1
Citric_acid,Citric acid,HMDB0000094,311,C00158,OC(=O)CC(O)(CC(O)=O)C(O)=O,1
Aspartic_acid,L-Aspartic acid,HMDB0000191,5960,C00049,N[C@@H](CC(O)=O)C(O)=O,1
Ascorbic_acid,Ascorbic acid,HMDB0000044,54670067,C00072,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,1
Alanine,Alanine,NA,NA,C01401,NA,1
Adenosine monophosphate,Adenosine monophosphate,HMDB0000045,6083,C00020,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1
6-Phosphogluconic_acid,6-Phosphogluconic acid,HMDB0001316,91493,C00345,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,1
5-aminovaleric_acid,NA,NA,NA,NA,NA,0
3Hydroxymethylglutaric_acid,NA,NA,NA,NA,NA,0
2-Oxoglutaric_acid,Oxoglutaric acid,HMDB0000208,51,C00026,OC(=O)CCC(=O)C(O)=O,1
2-Hydroxyglutaric_acid,NA,NA,NA,NA,NA,0
2-Hydroxybutyric_acid,NA,NA,NA,NA,NA,0
"1,6-anhydro-b-D-glucopyranose",Levoglucosan,HMDB0000640,2724705,NA,[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O,1
