,CTRL_39,CTRL_48,CTRL_56,IPD_12,IPD_13,IPD_28
No match: 1392.32_AZ_extrBlank_NP_1_213,0.008402716,0.027347244,0.010702795,0.007624144,0.004468487,0.00509067
No match: 1401.10_AZ_extrBlank_NP_1_286,0.066993017,0.078287687,0.063088675,0.059755801,0.037896235,0.041551171
No match: 1428.16_AZ_hNESC_iPD_12_NP_1_142,0.002822153,0.001479696,0.002699097,0.00318744,0.00213813,0.001784595
No match: 1450.34_AZ_extrBlank_NP_1_230,0.007337984,0.007916254,0.007435163,0.011933676,0.008230151,0.006630029
No match: 1459.96_AZ_hNESC_ctrl_48_NP_1_232,0.001562741,0.001942327,0.001874312,0.000782298,0.000568671,0.001275151
No match: 1467.71_AZ_extrBlank_NP_1_220,0.001092343,0.001480858,0.001260455,0.000821783,0.000473079,0.000709628
No match: 1472.27_AZ_extrBlank_NP_1_263,0.002479808,0.003100832,0.003850155,0.002299586,0.00237829,0.002492925
No match: 1478.18_AZ_hNESC_iPD_12_NP_1_443,0.004613315,0.005469856,0.004906189,0.00515251,0.002992239,0.005359181
No match: 1487.00_AZ_hNESC_iPD_28_NP_1_340,0.002467404,0.002435672,0.00246511,0.002371736,0.000658814,0.001560991
No match: 1497.05_AZ_extrBlank_NP_1_326,0.006645221,0.010946354,0.007251295,0.00677553,0.00494504,0.00402323
No match: 1500.61_AZ_hNESC_ctrl_48_NP_1_367,0.001464924,0.001957259,0.001055437,0.002081409,1.84E-05,0.001473511
No match: 1545.56_AZ_hNESC_ctrl_39_NP_1_149,0.001741647,0.000631964,0.000754648,0.001627655,0.000246446,0.00044741
No match: 1546.98_AZ_extrBlank_NP_1_49,0.001778775,0.001861235,0.002340847,0.00350704,0.001782193,0.001806906
No match: 1551.49_AZ_hNESC_iPD_12_NP_1_561,0.00130492,0.000634114,0.001503302,0.002393142,0.001694055,4.21E-05
No match: 1556.28_AZ_hNESC_ctrl_56_NP_1_565,0.001275734,0.001668245,0.002192724,0.000952348,0.000845148,0.000726663
No match: 1562.25_AZ_hNESC_ctrl_56_NP_1_644,0.001902455,0.00227967,0.003046645,0.000338939,0.000129671,0.001157884
No match: 1571.76_AZ_extrBlank_NP_1_437,0.008509253,0.008622702,0.009320758,0.012636892,0.009966488,0.006799868
No match: 1577.80_AZ_extrBlank_NP_1_106,0.007941495,0.007587344,0.007469807,0.00928114,0.00855341,0.00620386
No match: 1589.89_AZ_extrBlank_NP_1_412,0.006394704,0.007110594,0.006406857,0.011146337,0.007307594,0.006291833
No match: 1591.74_AZ_hNESC_ctrl_39_NP_1_498,0.001139197,0.001596024,0.000746715,0,0.000178453,9.50E-05
No match: 1597.99_AZ_extrBlank_NP_1_380,0.029337747,0.033549823,0.03152009,0.048013439,0.032202933,0.030544104
No match: 1605.80_AZ_extrBlank_NP_1_443,0.040264121,0.052051738,0.041518224,0.042867336,0.013703643,0.028312401
No match: 1613.13_AZ_hNESC_ctrl_48_NP_1_52,0.00061532,0.003103438,0.004131662,0,0.001866377,0.002983731
No match: 1620.13_AZ_hNESC_ctrl_39_NP_1_54,0.008817546,0.015937068,0.011615004,0.010036316,0.015422182,0.0197469
No match: 1644.88_AZ_hNESC_ctrl_48_NP_1_77,0.000947224,0.000892185,0.000700332,0.000190436,0.000632455,0.000704244
No match: 1670.93_AZ_extrBlank_NP_1_450,0.002398813,0.002670356,0.00277978,0.002419994,0.002259964,0.002535954
No match: 1675.92_AZ_hNESC_iPD_12_NP_1_497,0.006384114,0.007543355,0.007167626,0.010727947,0.007570592,0.005775036
No match: 1686.81_AZ_hNESC_ctrl_56_NP_1_426,0.007271268,0.008487558,0.008277802,0.006999536,0.002726832,0.007724438
No match: 1690.63_AZ_extrBlank_NP_1_358,0.008825374,0.010588516,0.008834106,0.009245766,0.009888126,0.007203947
No match: 1691.87_AZ_extrBlank_NP_1_307,0.000583849,0.000397244,0.001270161,0.002356879,0.001190342,0.001509532
No match: 1699.23_AZ_hNESC_iPD_28_NP_1_273,0.001552643,0.002727866,0.00276077,0.008944328,0.002294436,0.004157725
No match: 1704.32_AZ_hNESC_ctrl_48_NP_1_480,0.002448997,0.003258504,0.002958655,0,0.000805225,0.000141419
No match: 1710.53_AZ_hNESC_iPD_28_NP_1_633,0.002491383,0.002920772,0.002898234,0.002084455,0.002358957,0.001961951
No match: 1710.73_AZ_extrBlank_NP_1_27,0.002491383,0.002920772,0.002898234,0.002084455,0.002358957,0.001961951
No match: 1758.67_AZ_hNESC_iPD_2490_NP_1_173,0.002112961,0.000368655,0.000377427,0.000652294,0.009583304,0.016273423
No match: 1764.54_AZ_extrBlank_NP_1_142,0.00308051,0.005127789,0.004402458,0.002536805,0.003070344,0.003848005
No match: 1766.92_AZ_hNESC_iPD_12_NP_1_205,0.001617752,0.002466591,0.002882342,0.216000534,0.002165666,0.220663102
No match: 1795.67_AZ_extrBlank_NP_1_161,0.072199843,0.077136376,0.070219501,0.104376123,0.081493733,0.06468855
No match: 1802.67_AZ_hNESC_iPD_13_NP_1_319,0.001388942,0.001639474,0.001645545,0.001325132,0.001306335,0.001281351
No match: 1840.32_AZ_extrBlank_NP_1_158,0.028697206,0.03085123,0.031369634,0.026948296,0.027628908,0.021920032
No match: 1844.18_AZ_hNESC_iPD_13_NP_1_367,0.001285265,0.001519578,0.001517663,0.001335385,0.001073515,0.001151395
No match: 1862.43_AZ_extrBlank_NP_1_59,0.003249004,0.003885068,0.003191794,0.004872104,0.003331611,0.003379841
No match: 1862.77_AZ_hNESC_ctrl_48_NP_1_39,0.003249004,0.003885068,0.003191794,0.004872104,0.003331611,0.003379841
No match: 1867.05_AZ_extrBlank_NP_1_171,0.146835771,0.157140764,0.131112915,0.200985902,0.144350213,0.105929735
No match: 1873.90_AZ_hNESC_iPD_30c9_NP_1_118,0.000447951,0.000428445,0.000408286,0.000657648,0.000436113,0.000498532
No match: 1878.79_AZ_extrBlank_NP_1_405,0.00143426,0.001856377,0.001867472,0.001600385,0.001446592,0.001672835
No match: 1883.30_AZ_extrBlank_NP_1_37,0.000962954,0.002191503,0.002196979,0.002203884,0.00157398,0.002054212
No match: 1886.00_AZ_extrBlank_NP_1_154,0.015740331,0.026030887,0.016234543,0.020437479,0.020438735,0.019661608
No match: 1923.46_AZ_extrBlank_NP_1_392,0.155652736,0.168420163,0.164973333,0.141849977,0.143634553,0.123746192
No match: 1935.11_AZ_hNESC_ctrl_39_NP_1_147,0.001821371,0.00223264,0.002240257,0.00381309,0.002442706,0.002034362
No match: 1959.26_AZ_hNESC_iPD_13_NP_1_364,0.000208584,0.001820716,0.000219028,0.002152737,0.002559178,0.002413
No match: 1975.94_AZ_extrBlank_NP_1_195,0.079799496,0.085304763,0.084326574,0.073704935,0.064465102,0.057437792
No match: 1982.63_AZ_hNESC_iPD_30c9_NP_1_215,0.002986364,0.003658427,0.003177814,0.003318162,0.002859489,0.002821319
No match: 2002.14_AZ_extrBlank_NP_1_331,0.002741637,0.004505355,0.004270502,0.003907075,0.006853097,0.006028576
No match: 2040.69_AZ_hNESC_ctrl_39_NP_1_395,0.001011729,0.000999693,0.000985362,0,0.000882045,0.000771634
No match: 2055.14_AZ_extrBlank_NP_1_425,0.003986119,0.004202223,0.004843271,0.007119998,0.00597448,0.006349996
No match: 2057.17_AZ_hNESC_iPD_30c9_NP_1_278,0.001744116,0.001828812,0.001823407,0.001662901,0.001708341,0.001460838
No match: 2074.61_AZ_hNESC_ctrl_39_NP_1_515,0.003989053,0.006352468,0.005774266,0.005436945,0.007030772,0.009756491
No match: 2086.25_AZ_hNESC_iPD_28_NP_1_422,0.001810764,0.005198594,0.000721034,0.005091268,0.005882924,0.001007984
No match: 2102.55_AZ_hNESC_ctrl_39_NP_1_524,0.002851019,0.00134883,0,0.002850724,0,0.001123092
No match: 2112.65_AZ_hNESC_ctrl_56_NP_1_91,0.000189233,0.001178652,0.001054681,0.001027444,0.001099069,0.000734314
No match: 2116.52_AZ_extrBlank_NP_1_75,0.001753868,0.002302219,0.001957081,0.002290024,0.001523323,0.001733334
No match: 2119.09_AZ_hNESC_iPD_2490_NP_1_413,0.001159289,0.002630603,0.002307442,0.000190319,0.001911243,0.003108555
No match: 2136.67_AZ_extrBlank_NP_1_406,0.000938152,0.001549362,0.001043751,0.001029339,0.000666708,0.000862806
No match: 2141.42_AZ_hNESC_iPD_12_NP_1_303,0.004358726,0.004494522,0.004326721,0.003635683,0.003547354,0.002961089
No match: 2146.71_AZ_hNESC_iPD_12_NP_1_456,0.004815566,0.005649442,0.004697014,0.0062182,0.00616899,0.005756044
No match: 2153.83_AZ_extrBlank_NP_1_9,0.004808114,0.005948222,0.005787834,0.00552734,0.007709904,0.006746449
No match: 2161.55_AZ_hNESC_iPD_30c2_NP_1_127,0.004958122,0.005170535,0.004763567,0.004290364,0.003249687,0.003832999
No match: 2174.05_AZ_extrBlank_NP_1_58,0.004184603,0.004550283,0.004146976,0.006558028,0.004783048,0.003838018
No match: 2179.69_AZ_extrBlank_NP_1_420,0.005173632,0.005094105,0.005364586,0.008305455,0.005447821,0.004234203
No match: 2199.50_AZ_extrBlank_NP_1_446,0.000246473,0.000907756,0.001081313,0.000472336,0.003298316,0.004211034
No match: 2205.16_AZ_hNESC_iPD_30c2_NP_1_73,0.000740337,0.000781071,0.001316064,0.000567342,0.001396179,0.001493817
No match: 2208.39_AZ_hNESC_ctrl_39_NP_1_516,0.001390365,0.001789744,0.001764214,0.000598409,0.001579352,0.001512887
No match: 2260.39_AZ_extrBlank_NP_1_387,0.006696028,0.005953625,0.008540122,0.008233934,0.00595058,0.005419803
No match: 2271.52_AZ_hNESC_iPD_2490_NP_1_17,0.001619798,0,0,0,0,0
No match: 2284.95_AZ_hNESC_iPD_30c9_NP_1_120,0.001438874,0.003523028,0.00137972,0.001813614,0.00177177,0.001172464
No match: 2288.71_AZ_hNESC_ctrl_48_NP_1_48,0.001235577,0.011014531,0.010644379,0.00671363,0.010558447,0.006680697
No match: 2316.23_AZ_hNESC_iPD_30c9_NP_1_433,0.001182077,0.002981155,0.003370346,0.000460617,0.000699865,0.001435025
No match: 2330.28_AZ_hNESC_iPD_30c2_NP_1_146,0.00411757,0.004206955,0.00343752,0.003870722,0.003850576,0.003257102
No match: 2330.74_AZ_hNESC_ctrl_56_NP_1_369,0.00411757,0.004206955,0.00343752,0.003870722,0.003850576,0.003257102
No match: 2337.20_AZ_extrBlank_NP_1_146,0.009654022,0.010174981,0.009359957,0.00888812,0.010125165,0.00758949
No match: 2347.49_AZ_extrBlank_NP_1_445,0.00454685,0.004368732,0.004218189,0.003906348,0.004626297,0.003632986
No match: 2382.01_AZ_extrBlank_NP_1_211,0.003883269,0.003728976,0.00368496,0.005638121,0.004286203,0.003193433
No match: 2397.48_AZ_hNESC_iPD_2490_NP_1_143,0.000753608,0.000898071,0.000603783,0,0,0.00126495
No match: 2422.41_AZ_hNESC_iPD_30c2_NP_1_658,0.003230518,0.003569445,0.002844029,0.002838276,0.003637479,0.00401988
No match: 2425.61_AZ_hNESC_ctrl_39_NP_1_169,0.002148545,0.007856842,0.007365806,0.003288294,0.009390541,0.004964807
No match: 2445.53_AZ_hNESC_iPD_28_NP_1_663,0.000381238,0.000755456,0.000483085,0.000222216,0.000504702,0.000669674
No match: 2451.96_AZ_hNESC_iPD_30c2_NP_1_573,0.001183561,0.001586374,0.001093321,0.000816203,0.001643376,0.001386942
No match: 2462.39_AZ_extrBlank_NP_1_132,0.003547689,0.003284665,0.00421772,0.004980351,0.00320098,0.002904637
No match: 2467.02_AZ_hNESC_iPD_30c2_NP_1_340,0.007272973,0.006491643,0.00534667,0.006275048,0.007068166,0.005539308
No match: 2471.55_AZ_hNESC_ctrl_39_NP_1_355,0.002789327,0.003669759,0.00263554,0.003276272,0.00470468,0.005253205
No match: 2494.28_AZ_hNESC_iPD_28_NP_1_383,0.001458322,0.001622837,0.001226251,0.001178862,0.001451357,0.001221526
No match: 2549.27_AZ_hNESC_iPD_2490_NP_1_410,0.001558494,0.001938784,0.00167501,0.00105182,0.001987646,0.001207883
No match: 2592.18_AZ_extrBlank_NP_1_309,0.00946087,0.010830117,0.01047118,0.014232049,0.01060593,0.008349423
No match: 2617.06_AZ_hNESC_iPD_30c9_NP_1_149,0.004630002,0.004859365,0.005071596,0.006093142,0.004398243,0.00321938
No match: 2620.63_AZ_extrBlank_NP_1_454,0.007006146,0.008371633,0.007853112,0.010936225,0.008569044,0.009479035
No match: 2665.38_AZ_hNESC_iPD_30c2_NP_1_317,0.001782228,0.00264733,0.002199289,0.002282739,0.002647904,0.002989028
No match: 2673.52_AZ_hNESC_iPD_30c2_NP_1_28,0.000358064,0.000936245,0.000810877,5.70E-06,0.000855711,0.000893024
No match: 2721.36_AZ_extrBlank_NP_1_287,0.000733372,0.001028186,0.000738317,0.00067607,0.00089642,0.000855798
No match: 2744.19_AZ_extrBlank_NP_1_418,0.014325874,0.015230423,0.013763041,0.0126169,0.014389425,0.011452032
No match: 2768.41_AZ_extrBlank_NP_1_407,0.736999058,0.74030269,0.698963512,0.648136065,0.751183728,0.572308692
No match: 2812.98_AZ_extrBlank_NP_1_386,0.004406127,0.005291507,0.004603196,0.005677153,0.004838947,0.005500689
No match: 2884.45_AZ_extrBlank_NP_1_50,0.070310837,0.074000822,0.058934266,0.061066726,0.074646228,0.052309432
No match: 2906.88_AZ_hNESC_iPD_30c2_NP_1_88,0.016971737,0.018114873,0.01450986,0.014175569,0.019353604,0.012180098
No match: 2915.73_AZ_extrBlank_NP_1_346,0.02217317,0.070171059,0.066322137,0.015849391,0.035698764,0.038393052
No match: 2924.35_AZ_hNESC_iPD_30c2_NP_1_548,0.006149055,0.006151214,0.005429161,0.005157931,0.005609841,0.004371736
No match: 2932.58_AZ_extrBlank_NP_1_261,1.441481346,1.426899506,1.346286394,1.2947228,1.463459294,1.08747601
No match: 2976.08_AZ_hNESC_ctrl_48_NP_1_243,0.008265577,0.008857598,0.008278909,0.007695443,0.008564823,0.006642412
No match: 3006.77_AZ_extrBlank_NP_1_453,0.001200529,0.002714786,0.001715909,0.001258704,0.00208557,0.006171139
No match: 3065.36_AZ_extrBlank_NP_1_433,0.066414775,0.06788395,0.063136556,0.058632414,0.069700318,0.050818848
No match: 3084.87_AZ_hNESC_ctrl_48_NP_1_59,0,0.000583342,0.000492943,0,5.75E-05,0.000277448
No match: 3089.05_AZ_extrBlank_NP_1_175,0.01945198,0.02078384,0.018774416,0.01718014,0.020598542,0.015390679
No match: 3140.49_AZ_hNESC_ctrl_39_NP_1_151,0.002265307,0.012535193,0.009181482,0.002879781,0.008724877,0.040144892
No match: 3257.93_AZ_hNESC_ctrl_48_NP_1_441,0.004116427,0.003227296,0.003204486,0.002450973,0.003258188,0.003609104
No match: 3290.34_AZ_extrBlank_NP_1_390,0.024526321,0.032164792,0.029057195,0.019019152,0.025936162,0.022869529
No match: 3326.29_AZ_hNESC_ctrl_48_NP_1_464,0.000878682,0.002420978,0.001374015,0.001269757,0.00228608,0.018211224
No match: 3338.10_AZ_hNESC_iPD_28_NP_1_585,0.001503217,0.002496831,0.002482187,0.001835607,0.002772999,0.003272774
No match: 3390.70_AZ_hNESC_iPD_2490_NP_1_9,0.002533774,0.006897352,0.005054786,0.003535881,0.005317494,0.005920789
No match: 3392.60_AZ_hNESC_iPD_2490_NP_1_22,0.002059296,0.004923749,0.001790425,0.001119241,0.000186751,0.002560567
No match: 3426.00_AZ_hNESC_ctrl_56_NP_1_444,0.001504955,0.001498414,0.002058616,0.001707765,0.003246571,0.002784948
No match: 3428.10_AZ_hNESC_iPD_28_NP_1_50,0.005925229,0.00626584,0.007504175,0.004750233,0.005453804,0.006001999
No match: 3505.12_AZ_extrBlank_NP_1_94,0.017886167,0.023040872,0.015868429,0.032038387,0.033083316,0.033733681
No match: 3539.13_AZ_hNESC_ctrl_56_NP_1_133,0.001421234,0.002542547,0.002187996,0.000986431,0.002414138,0.003280743
No match: 3563.98_AZ_hNESC_iPD_30c2_NP_1_240,0.001633785,0.004242998,0.003284391,0.001930713,0.003276954,0.004403432
No match: 3585.08_AZ_extrBlank_NP_1_205,0.033925861,0.039012083,0.031253638,0.030601691,0.036565934,0.025907336
No match: 3606.84_AZ_extrBlank_NP_1_22,0.042187898,0.048686841,0.038221189,0.037905566,0.045474308,0.03369687
No match: 3648.97_AZ_hNESC_iPD_30c9_NP_1_297,0.004969219,0.003744228,0.003845532,0.00406731,0.004183488,0.005536205
No match: 3782.96_AZ_hNESC_iPD_12_NP_1_187,0.015696942,0.033330612,0.04958432,0.039424895,0.031966703,0.076343894
No match: 3890.62_AZ_extrBlank_NP_1_316,0.044253871,0.052316451,0.034714266,0.046636618,0.067552262,0.06825944
No match: 3932.76_AZ_hNESC_ctrl_48_NP_1_259,0.000171766,0.000376942,0.000146026,0.00040919,0.00068743,0.000785375
Octadecanoic_acid,0.782052921,0.822566868,0.783682426,0.996266538,0.82354167,0.704519299
