"SOIidx","start","end","formula","mass","anot","Bf_1","Bf_2","Bi_1","Bi_2","QC_00","QC_01","QC_02","QC_03","QC_04","QC_05","QC_06","QC_07","QC_08","QC_09","QC_10","QC_11","QC_12","QC_13","Suero_C01_08","Suero_C02","Suero_C03","Suero_C04","Suero_C05","Suero_C06","Suero_C07","Suero_P1_V1","Suero_P1_V3_5","Suero_P1_V4","Suero_P1_V6","Suero_P2_V1","Suero_P2_V3_5","Suero_P2_V4","Suero_P2_V6","Suero_P3_V1","Suero_P3_V3_5","Suero_P3_V4","Suero_P3_V6","Suero_P4_V1","Suero_P4_V3_5","Suero_P4_V4","Suero_P4_V6","Suero_P5_V1","Suero_P5_V3_5","Suero_P5_V4","Suero_P5_V6","Suero_P6_V1","Suero_P6_V3_5","Suero_P6_V4","Suero_P6_V6","Suero_P7_V1","Suero_P7_V3_5","Suero_P7_V4","Suero_P7_V6","Suero_P8_V1","Suero_P8_V3_5","Suero_P8_V4","Suero_P8_V6"
3297,205,227.5,"[C16H23INO]+",372.08189,"C16H22INO_M+H",NA,NA,NA,NA,26365.49609375,37537.07421875,29476.240234375,33706.76953125,24701.580078125,26907.7109375,26421.046875,33148.703125,29833.005859375,29452.236328125,35779.25390625,37011.9296875,45018.1015625,38659.19140625,29675.15234375,21276.544921875,26147.970703125,22269.04296875,27492.509765625,30225.123046875,28337.93359375,28571.556640625,23022.255859375,22618.556640625,30686.65234375,26403.283203125,36385.40234375,34079.64453125,31895.58203125,43137.33984375,42150.35546875,36769.78125,47209.078125,24475.6640625,31681.220703125,35713.55078125,32506.359375,40187.8359375,29790.75390625,35701.8515625,27850.904296875,28188.92578125,20135,26042.060546875,26536.087890625,32738.3203125,29396.396484375,27811.6484375,25278.0078125,32452.81640625,20708.33203125,30093.93359375,31672.4765625
3298,227.5,250,"[C16H23INO]+",372.08189,"C16H22INO_M+H",NA,NA,NA,NA,23260.07421875,20185.220703125,29337.6875,29877.484375,25078.572265625,34243.00390625,26099.6640625,25096.158203125,29833.005859375,27254.865234375,19766.1953125,28714.79296875,27323.736328125,17487.849609375,27566.587890625,18015.794921875,15876.607421875,25941.412109375,27302.986328125,26985.263671875,25392.4609375,27597.08984375,20393.169921875,21846.962890625,25960.828125,20527.611328125,33174.18359375,34079.64453125,22612.0625,33760.703125,27331.244140625,29105.296875,36930.74609375,24475.6640625,24121.802734375,25039.0703125,21215.984375,36349.69921875,29790.75390625,30397.466796875,27850.904296875,16413.529296875,18691.220703125,22730.0625,25189.5703125,32738.3203125,28828.171875,22051.291015625,25278.0078125,26513.75390625,21250.02734375,22798.908203125,31672.4765625
3299,360,382.5,"[C14H30NO10]+",372.18642,"C14H26O10_M+NH4",36501.26171875,44174.53125,NA,48945.8984375,3210485.5,3265266.75,3457061.25,3239664.75,3137844.75,3363013,3033657.75,2934184.5,2523860,2237704.75,2064754.125,1811698.125,1803768.875,1698760.5,32294.84375,48242.796875,30398.5,6945.42041015625,39443.640625,5030.22607421875,4991.8837890625,6996.4765625,58873.25390625,6035.837890625,141557.828125,5988.966796875,36997.62890625,56472.984375,8510.0029296875,18023506,12630347,13876381,13307404,37720.62890625,4812.3466796875,54907.953125,38275.7578125,32232.0078125,33124.46875,39085.78515625,56091.05859375,60336.95703125,68011.5703125,45404.2734375,54291.3671875,4619.18603515625,68586.4453125,177274.328125,65713.140625,179623.015625,7674.31591796875,176939.75,7146.93359375
3300,307.5,317.5,"[C21H42NO4]+",372.31083,"C21H41NO4_M+H; C21H38O4_M+NH4",NA,NA,NA,NA,416122.625,420116.59375,427549.03125,411660.53125,514347.75,446159.25,484118.3125,433473.75,472630.375,521952.90625,465677.8125,467944.5625,514520.875,492638,632071.9375,1108846.75,676533.375,485689.625,802428.875,589805.0625,657351.5,449924.8125,796234.875,276538.03125,1500994.125,289276.21875,247538.640625,538700.625,277107.71875,549891.5,307212.125,304431.9375,493752.4375,667700.875,610506.4375,1510441,495710.6875,307702.1875,324569.6875,254432.78125,279427.03125,287218.03125,281664.6875,519198,120994.5078125,774677.75,657645.25,495561.84375,1092574.375,231128.046875,171394.6875,144613.34375,178837.96875
3301,62.5,72.5,"[C22H46NO3]+",372.34722,"C22H42O3_M+NH4",11406.6787109375,8527.8935546875,NA,256147.46875,139788.8125,168830.703125,161258.640625,13038.7568359375,195308.53125,14578.220703125,201390.703125,214362.78125,200405.234375,190679.921875,238460.765625,183271.84375,206365.65625,221540.703125,84074.6953125,8716.2431640625,94016.5546875,53309.0703125,8518.7421875,120883.7265625,87785.4765625,64486.07421875,66342.296875,10744.9091796875,42364.83203125,93015.9609375,65195.63671875,109082.0390625,98204.875,57406.12109375,95627.015625,37194.546875,15160.8017578125,107301.1875,10241.57421875,11099.509765625,152381.40625,71871.3046875,78308.0546875,15752.650390625,31663.173828125,69820.8203125,NA,156673.890625,58061.96484375,63613.0078125,67712.0859375,61461.1015625,50018.1875,97954.0625,76214.1796875,39516.29296875,60316.0390625
3302,52.5,60,"[C13H20NNaO10]+",373.09794,"C13H20NO10_M+Na",55527.9296875,56097.24609375,NA,20571.138671875,46225.91015625,83365.7109375,81539.9296875,68354.15625,60676.4765625,76093.3125,88385.4921875,112601.5625,79339.3359375,103988.5859375,136939.25,114380.125,146313.09375,129359.546875,40019.83203125,23661.2890625,NA,NA,NA,NA,3708.4775390625,30015.62109375,39737.7890625,31681.00390625,NA,13528.1171875,NA,30280.78125,14621.4052734375,25849.287109375,NA,30414.98828125,34929.83203125,15690.9375,33514.71484375,45284.91015625,24153.8828125,25222.744140625,15586.91015625,NA,NA,11314.2666015625,14317.208984375,NA,NA,17635.79296875,15224.3388671875,29755.470703125,27173.42578125,27103.15234375,20075.80078125,15377.361328125,NA
3303,52.5,67.5,"[C20H37O6]+",373.25846,"C20H36O6_M+H; C20H38O7_M+H-H2O",18167.3828125,20828.97265625,NA,11163.4248046875,2743417.25,2803708,2971922,2811158.5,2842201.75,2875949,2814548,2825461.75,2819183.75,2834403.5,2752573.25,3130599.5,2952399,2714561.5,2161231.75,2204741.75,3070823,4447368.5,NA,3711479.75,2347005.25,4385951,3260964.75,3515862.5,4101799.25,2548181.75,3668857.5,2402309,3336225,3103364.25,3383440.25,3627956.75,4094715,2649661.25,2619096,5000387.5,2563480,3709950.25,1204252.375,3567012.75,4154192.5,2765915.25,2078702.125,189857.703125,3037489,3686567.25,2615140.5,4564922.5,2710638.25,4250557.5,4177736,3758970.75,863807.5625
3306,260,272.5,"[C22H48NO3]+",374.36287,"C22H44O3_M+NH4",NA,NA,NA,NA,105926.625,127071.3046875,104646.4296875,115949.171875,123553.0703125,132766.359375,141423.921875,137059.421875,164344.03125,175632.328125,171382.890625,167302.53125,190174.1875,176625.90625,87812.03125,289688.75,296227.21875,304083.71875,33118.30859375,NA,167823.03125,275753.96875,64323.02734375,229347.875,142495.546875,218594.953125,NA,26888.626953125,90906.4609375,NA,82497.5,NA,57360.890625,8994.2890625,NA,NA,NA,102861.796875,258302.46875,138554.671875,75111.7578125,83958.2265625,407605.28125,1205555.75,91013.5546875,107546.8515625,126705.640625,59337.28125,28079.484375,19428.416015625,149584.125,303234.03125,441978.5625
3307,280,290,"[C22H48NO3]+",374.36287,"C22H44O3_M+NH4",NA,NA,NA,NA,19723.98046875,18276.833984375,24079.037109375,14274.279296875,19520.85546875,21100.916015625,22110.6328125,46753.66015625,30402.431640625,23741.1484375,24194.05859375,24091.02734375,20148.28515625,41296.60546875,NA,32666.20703125,15077.19140625,32078.841796875,NA,NA,14419.69140625,23781.822265625,NA,10514.9755859375,9746.23046875,13775.5361328125,NA,NA,NA,NA,NA,NA,NA,14318.6044921875,NA,NA,NA,NA,33615.72265625,8563.9375,NA,NA,43724.58984375,78788.5703125,NA,NA,NA,NA,NA,NA,NA,22526.935546875,31348.712890625
3310,112.041842928,128.460441408,"[C19H28NaO6]+",375.17781,"C19H28O6_M+Na",NA,NA,NA,NA,67105.5078125,63070.1953125,63629.1640625,67074.7265625,60349.8515625,77870.453125,69257.0546875,74443.6015625,79268.5703125,83706.6328125,83559.359375,90094.890625,92905.953125,83744.328125,92661.1640625,6219.92626953125,NA,NA,NA,6134.56591796875,NA,94918.6328125,NA,NA,38692.91796875,245081.375,NA,28082.8984375,161849.3125,11591.0244140625,133724.796875,NA,231751.546875,27665.3203125,41723.01171875,224168.859375,48318.875,162255.390625,163807.09375,17220.80859375,56687.35546875,199166.078125,NA,NA,108418.3828125,96020.7890625,183379.875,63450.265625,48513.4609375,NA,145169.328125,85764.078125,NA
