"SOIidx","start","end","formula","mass","anot","Bf_1","Bf_2","Bi_1","Bi_2","QC_00","QC_01","QC_02","QC_03","QC_04","QC_05","QC_06","QC_07","QC_08","QC_09","QC_10","QC_11","QC_12","QC_13","Suero_C01_08","Suero_C02","Suero_C03","Suero_C04","Suero_C05","Suero_C06","Suero_C07","Suero_P1_V1","Suero_P1_V3_5","Suero_P1_V4","Suero_P1_V6","Suero_P2_V1","Suero_P2_V3_5","Suero_P2_V4","Suero_P2_V6","Suero_P3_V1","Suero_P3_V3_5","Suero_P3_V4","Suero_P3_V6","Suero_P4_V1","Suero_P4_V3_5","Suero_P4_V4","Suero_P4_V6","Suero_P5_V1","Suero_P5_V3_5","Suero_P5_V4","Suero_P5_V6","Suero_P6_V1","Suero_P6_V3_5","Suero_P6_V4","Suero_P6_V6","Suero_P7_V1","Suero_P7_V3_5","Suero_P7_V4","Suero_P7_V6","Suero_P8_V1","Suero_P8_V3_5","Suero_P8_V4","Suero_P8_V6"
2132,62.5,77.5,"[C14H26ClN2O2]-",289.16883,"C14H26N2O2_M+Cl",72782.2265625,98370.625,NA,94526.671875,671038.25,544768.625,538358.5,540581.5,605970.375,423733.4375,521028.03125,515695.84375,527732.125,474818.34375,415474.90625,283390.25,325133,333895.3125,704109.375,457294.4375,766742.6875,620285.9375,162150.078125,249258.765625,689559.3125,116858.1640625,200480.4375,277760.15625,347463.96875,405869.75,198086.046875,1254838.625,224411.875,196071.546875,170281.9375,135220.828125,82800.859375,338259.5,347639.25,442056.875,406294.15625,308539.28125,188266.53125,1615250.625,126896.984375,409979.21875,446600,995163.0625,416021.59375,182984.609375,378933.3125,277750.34375,229371.96875,953279.5625,754533.8125,204585.9375,453185.71875
2133,62.5,77.5,"[C17H23NO3]-",289.16834,"C17H24NO3_M-H",72782.2265625,98370.625,NA,94526.671875,671038.25,544768.625,538358.5,540581.5,605970.375,423733.4375,521028.03125,515695.84375,527732.125,474818.34375,415474.90625,283390.25,325133,333895.3125,704109.375,457294.4375,766742.6875,620285.9375,162150.078125,249258.765625,689559.3125,116858.1640625,200480.4375,277760.15625,347463.96875,405869.75,198086.046875,1254838.625,224411.875,196071.546875,170281.9375,135220.828125,82800.859375,338259.5,347639.25,442056.875,406294.15625,308539.28125,188266.53125,1615250.625,126896.984375,409979.21875,446600,995163.0625,416021.59375,182984.609375,378933.3125,277750.34375,229371.96875,953279.5625,754533.8125,204585.9375,453185.71875
2134,322.5,330,"[C11H16NO8]-",290.08814,"C11H17NO8_M-H; C11H19NO9_M-H2O-H",NA,NA,NA,NA,11726.98046875,11166.47265625,9789.4453125,7952.84423828125,9343.619140625,9804.8857421875,7011.80859375,11861.107421875,9094.439453125,9891.626953125,11393.8173828125,7434.98583984375,11262.080078125,8080.638671875,10415.8828125,7505.14453125,5444.1630859375,8914.1669921875,9591.1904296875,7246.22509765625,9421.9765625,12008.16796875,11197.4853515625,7484.27490234375,7945.6474609375,6622.93701171875,6734.50390625,10378.9541015625,5987.6298828125,7890.11474609375,6696.92431640625,8417.9619140625,7250.78955078125,7928.71826171875,8378.3271484375,11505.076171875,9042.8017578125,13694.03125,17174.87890625,12562.4775390625,14021.01953125,NA,17095.41015625,4850.49658203125,7687.94970703125,8423.642578125,9048.751953125,10760.759765625,6495.34765625,10034.4453125,8815.2958984375,11169.740234375,8795.3037109375
2135,292.5,307.5,"[C7H13ClO8P]-",291.00421,"C7H13O8P_M+Cl",NA,NA,NA,NA,44510.44921875,41244.52734375,58150.46875,47788.359375,58451.94140625,57725.609375,57830.296875,57241.296875,68147.84375,65154.12109375,57807.0234375,55328.33203125,67237.546875,67419.1796875,NA,4863.58544921875,NA,4102.8037109375,NA,NA,2918.34790039062,NA,NA,NA,NA,NA,NA,NA,3293.17138671875,NA,NA,NA,NA,6656.8271484375,8687.3935546875,NA,5296.33203125,8367.642578125,NA,NA,NA,NA,5758.45654296875,NA,NA,2702.56884765625,NA,NA,NA,NA,NA,NA,NA
2142,94.836289392,108.257120736,"[C16H32ClO2]-",291.20963,"C16H32O2_M+Cl",NA,NA,NA,NA,227938.40625,254385.4375,259398.625,218892.109375,255289.1875,274027.0625,236313.9375,228642.296875,226494.9375,274661.25,263502,259039.0625,268896.0625,333436.78125,140564.09375,340093.28125,263713.03125,239536.75,167961.515625,363453.40625,210274.390625,138785.421875,149978.265625,107847.9921875,205346.578125,160604.90625,126110.375,235100.0625,121721.2734375,187634.21875,95384.109375,174259.015625,166473.953125,192045.96875,232586.53125,448305.90625,220659,98643.4140625,66747.1640625,103501.0546875,91496.0703125,213200.8125,183549.734375,164812.90625,40835.80859375,303109.53125,249534.546875,308802.78125,340226.625,102820.8828125,103857.828125,82631.7578125,49493.88671875
2143,80.819230416,94.836289392,"[C16H32ClO2]-",291.20963,"C16H32O2_M+Cl",NA,NA,NA,NA,227938.40625,254385.4375,259398.625,218892.109375,255289.1875,274027.0625,236313.9375,228642.296875,226494.9375,274661.25,263502,259039.0625,268896.0625,333436.78125,140564.09375,340093.28125,263713.03125,239536.75,167961.515625,363453.40625,210274.390625,138785.421875,149978.265625,107847.9921875,205346.578125,160604.90625,126110.375,235100.0625,121721.2734375,187634.21875,95384.109375,174259.015625,166473.953125,192045.96875,232586.53125,448305.90625,220659,98643.4140625,66747.1640625,103501.0546875,91496.0703125,213200.8125,183549.734375,164812.90625,40835.80859375,303109.53125,249534.546875,308802.78125,340226.625,102820.8828125,103857.828125,82631.7578125,49493.88671875
2144,65.53620697602,80.819230416,"[C16H32ClO2]-",291.20963,"C16H32O2_M+Cl",NA,15032.4228515625,NA,NA,227938.40625,254385.4375,259398.625,218892.109375,255289.1875,274027.0625,236313.9375,228642.296875,226494.9375,274661.25,247162.859375,259039.0625,252696.421875,274859.21875,140564.09375,340093.28125,263713.03125,239536.75,167961.515625,363453.40625,210274.390625,138785.421875,149978.265625,107847.9921875,205346.578125,146136.4375,126110.375,235100.0625,121721.2734375,187634.21875,90736.59375,174259.015625,166473.953125,192045.96875,232586.53125,349703.6875,220659,98643.4140625,66747.1640625,100553.28125,91496.0703125,213200.8125,183549.734375,164812.90625,40835.80859375,303109.53125,249534.546875,308802.78125,340226.625,102820.8828125,103857.828125,82631.7578125,49071.41015625
2145,332.5,345,"[C13H9O6S]-",293.01198,"C13H12O7S_M-H2O-H",NA,NA,NA,NA,95180.5078125,83372.4140625,106390.3125,71297.171875,90597.4140625,73751.828125,89841.3515625,72249.140625,83643.8046875,52952.87890625,82610.359375,99170.265625,87630.625,73675.4296875,77668.0703125,107336.3515625,62257.8515625,85169.640625,80482.953125,77686.1484375,87039.3203125,69480.0234375,49072.0859375,77333.15625,79158.0390625,77608.1796875,83166.5078125,85074.25,86849.015625,94749.9921875,67450.0546875,58843.53515625,59380.76953125,92304.640625,85976.2109375,101599.828125,67626.9765625,61485.76171875,79384.8515625,83177.1171875,72760.75,85653.0859375,75733.5859375,64873.9453125,71938.453125,47324.2578125,80507.6796875,84981.4140625,69154.75,63417.49609375,84042.375,60098.32421875,73890.1875
2146,157.5,182.5,"[C14H13O5S]-",293.04892,"C14H14O5S_M-H",NA,NA,NA,NA,83607.3984375,77430.7734375,84604.0390625,72722.4140625,86883.2734375,68470.203125,112746.78125,81468,76548.3984375,79793.1484375,82243.65625,87070.7421875,45722.28515625,40190.62890625,73965.34375,82709.34375,43897.3359375,93422.1640625,76103.7734375,91660.734375,71779.71875,38497.06640625,48930.34375,71062.71875,67013.7265625,79130.2421875,72267.2890625,80531.7421875,84418.4765625,94899.6875,53933.57421875,42603.9140625,92887.9296875,78635.0703125,86423.203125,90247.5390625,43868.48046875,93774.546875,75110.8359375,77162.6796875,85785.515625,81048.515625,73762.53125,58715.453125,91644.6484375,83424.4296875,93222,83184.0234375,84630.8515625,86049.1796875,73567.6953125,82309.1328125,80247.1875
2147,177.5,190,"[C10H13O10]-",293.05142,"C10H14O10_M-H",NA,NA,NA,NA,39858.07421875,81417.046875,81777.1875,67756.5234375,61912.33984375,71664.2265625,69911.6953125,72909.2734375,73772.8359375,76806.90625,106373.5,92267.0078125,108537.953125,103951.46875,87623.125,69545.734375,74390.546875,46081.3359375,78720.84375,56423.55859375,214321.03125,154086.09375,113592.0390625,111365.296875,66736.5078125,86135.59375,88009.3203125,83099.0546875,100698.6953125,61964.30078125,110182.921875,101725.9296875,58748.43359375,80150.4453125,59279.74609375,85803.453125,68282.6328125,31161.5703125,61252.2109375,70927.09375,83136.1875,104086.0703125,192207.03125,179398.796875,76511.296875,54264.1953125,68989.3359375,73234.21875,46869.26953125,42888.04296875,66130.890625,110960.7890625,47380.09375
