"SOIidx","start","end","formula","mass","anot","Ampolla_P1_V1","Ampolla_P1_V3_5","Ampolla_P1_V4","Ampolla_P1_V6","Ampolla_P2_V1","Ampolla_P2_V3_5","Ampolla_P2_V4","Ampolla_P2_V6","Ampolla_P3_V1","Ampolla_P3_V3_5","Ampolla_P3_V4","Ampolla_P3_V6","Ampolla_P4_V1","Ampolla_P4_V3_5","Ampolla_P4_V4","Ampolla_P4_V6","Ampolla_P5_V1","Ampolla_P5_V3_5","Ampolla_P5_V4","Ampolla_P5_V6","Ampolla_P6_V1","Ampolla_P6_V3_5","Ampolla_P6_V4","Ampolla_P6_V6","Ampolla_P7_V1","Ampolla_P7_V3_5","Ampolla_P7_V4","Ampolla_P7_V6","Ampolla_P8_V1","Ampolla_P8_V3_5","Ampolla_P8_V4","Ampolla_P8_V6","Bf_1","Bi_1","Bi_2","QCa_00","QCa_01","QCa_02","QCa_03","QCa_04","QCa_05","QCa_06","QCa_07","QCa_08","QCa_09","QCa_10","QCa_11"
434,400,405,"[C11H20NO6]+",262.12851,"C11H19NO6_M+H; C11H16O6_M+NH4; C11H21NO7_M+H-H2O",8038.05615234375,11004.71484375,8964.6884765625,7074.04833984375,NA,6310.95166015625,9695.5830078125,8240.744140625,NA,7164.4658203125,8012.09375,NA,10032.46484375,NA,10673.3369140625,11287.4462890625,8292.6826171875,10826.197265625,7221.30517578125,5194.0927734375,NA,NA,NA,NA,10027.2080078125,5804.31298828125,8768.9951171875,11549.3447265625,NA,12246.685546875,NA,NA,NA,10859.708984375,NA,19872.69921875,13243.6923828125,21712.009765625,13165.5634765625,12633.8857421875,18056.984375,12642.9951171875,9711.923828125,7636.9521484375,8969.1650390625,5758.4052734375,5916.15380859375
435,387.9549168,399.70806529602,"[C11H21N2O3]+",229.15467,"C11H17NO3_M+NH4; C11H20N2O3_M+H",1390260.25,1104876.25,1181440.375,880112.9375,877246.6875,807121.4375,941512.5,879016.625,1111437.125,1609735.375,1124866.5,895593.1875,2215046.75,1432856.875,1853717.5,2183288.5,1179889.25,1583304.375,1340905.875,1009112.1875,1046909.125,859261.5625,455091.46875,795575.1875,1507300.25,1107902.25,1461781.5,1628370.125,800306.9375,1737720,446073.3125,487778.75,36732.40625,101007.875,59313.52734375,1585527,1658677.625,1607417.875,1777410.625,1580753.125,1517726.875,1526312.375,1264679.625,1227882.125,1128310.5,1213129,1160299.625
436,417.21411055998,427.34085577602,"[C11H21N2O3]+",229.15467,"C11H17NO3_M+NH4; C11H20N2O3_M+H",849474.1875,601269.25,704800.625,427132,494767.15625,462017.9375,570401.9375,542224.5625,648597.25,798959.625,647712.75,529684.5,1405347.125,922256.4375,1182099.375,1256082.625,629672.1875,958446.4375,772562.5,518993.625,641111.3125,501393.71875,292715.1875,506380.59375,870308.5,620590.625,905597.8125,926100.125,467888.1875,891665.9375,302386.75,294170.25,33782.19921875,90838.6484375,42779.93359375,691774.25,703465.875,701772.5,723063.375,785378.75,804601.3125,730132.875,710077.8125,698665.5,741229.5625,722263.125,745282.4375
438,72.5,77.5,"[C11H22N6O11P2]+",476.08163,"C11H18N5O11P2_M+NH4",39338.35546875,22639.84375,32005.19921875,17559.3203125,26455.390625,43621.20703125,54960.8671875,43692.76171875,39507.50390625,24822.603515625,47738.08203125,34063.83203125,35171.49609375,36262.91015625,40621.16015625,37881.84765625,46171.97265625,44672.3828125,42039.12109375,51418.02734375,33645.99609375,34128.5703125,31016.494140625,30267.515625,37749.328125,27683.349609375,42008.859375,37559.22265625,29737.005859375,35252.15625,43580.5625,34912.41796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,23990.373046875,47712.7734375,60092.02734375,43752.08984375,49073.85546875,47188.12890625
440,352.5,365,"[C11H22NO2]+",200.1645,"C11H21NO2_M+H; C11H18O2_M+NH4",6524.1552734375,7003.03271484375,7321.42919921875,9534.263671875,8429.9580078125,7415.12158203125,4915.98095703125,8286.7626953125,11601.98046875,7528.0888671875,NA,7627.681640625,7344.87646484375,7658.13818359375,7404.81982421875,6563.64013671875,7177.54638671875,10603.87109375,7666.60302734375,8344.6396484375,9417.029296875,7177.927734375,6051.603515625,6122.9482421875,6324.1484375,7066.81787109375,7984.80712890625,9311.3984375,7687.4814453125,6715.029296875,8477.8173828125,7603.49658203125,6171.40234375,9633.796875,11319.2978515625,9568.9951171875,9841.7958984375,8539.6025390625,7839.259765625,10423.6875,10033.875,9086.134765625,6127.9541015625,8237.986328125,13715.130859375,14419.2998046875,8936.765625
441,435,442.5,"[C11H22NO2]+",200.1645,"C11H21NO2_M+H; C11H18O2_M+NH4",7000.0810546875,6984.47119140625,9253.4189453125,11810.6806640625,8066.6875,9863.337890625,9523.9541015625,6684.99267578125,5807.8134765625,8159.25146484375,8537.7060546875,5724.5966796875,9062.689453125,6126.8955078125,7255.58642578125,7605.712890625,8066.73876953125,8287.5625,6205.11279296875,6503.69921875,9058.3974609375,10577.3662109375,7646.88671875,9125.453125,9303.548828125,9254.251953125,8102.271484375,10605.6337890625,7491.12060546875,9264.875,9622.8154296875,8359.2099609375,6510.35009765625,NA,NA,9286.2890625,9051.19921875,8653.908203125,10106.0610351562,9388.8359375,7161.6513671875,10840.0166015625,7903.96728515625,5975.41943359375,6313.3125,7237.505859375,5715.4306640625
442,407.5,412.5,"[C11H22NO3]+",216.15942,"C11H21NO3_M+H",10606.58984375,9461.990234375,9684.982421875,12744.0048828125,7798.59033203125,7675.37646484375,9307.6826171875,7641.11083984375,11159.181640625,11914.5458984375,8162.17138671875,7732.07080078125,11194.693359375,NA,7814.14111328125,8369.306640625,12273.056640625,14367.736328125,6554.90087890625,11882.2998046875,7025.7607421875,10557.3798828125,6927.08544921875,7417.09814453125,6665.87060546875,9122.296875,9407.2001953125,NA,11433.0185546875,7943.42431640625,8717.6806640625,10708.365234375,6992.01171875,16885.591796875,8300.732421875,16243.92578125,12860.533203125,12321.29296875,7007.5791015625,11272.65625,15726.8623046875,10080.4169921875,9910.1953125,10490.87109375,9585.1376953125,9377.84765625,8385.43359375
443,367.5,392.5,"[C11H22NO4]+",232.15433,"C11H21NO4_M+H; C11H23NO5_M+H-H2O; C11H18O4_M+NH4",2104009.5,2157224.5,2218634.5,2374989.25,1098250.25,796660.0625,1084066.625,873319.4375,1733211.375,2011726,15926322,1403208.625,1199130.625,703632.375,767748.8125,999290.875,680715.25,1372228.125,674670.625,495550.84375,1471457.125,1991664.375,1696350.125,1163675.5,2314440,1267464.375,1370251.875,1633347.75,1808318.75,2076977.25,565135.0625,643655.6875,4754.41064453125,60938.38671875,21718.46875,1099421.875,1078789.75,1029495.875,1119564.75,1043078.625,936189.8125,929399.125,645923.375,660944.25,643468.9375,540772.1875,565023.375
444,387.5,405,"[C11H22NO5]+",248.14925,"C11H21NO5_M+H",2197647,2918758.5,966544.0625,3260555.5,600125.5,231519.78125,1358944.875,615378.375,114348.203125,132947.953125,356546.625,178707.5625,769458.3125,401055.9375,509590.34375,318997.28125,352443.09375,375174.78125,442605.90625,217900.25,1392365.25,1784854.75,1767824.75,121864.1640625,671647.0625,261405.390625,291136.5625,1456333.25,393166.78125,607863.75,493191.9375,317028.40625,8558.7431640625,46721.140625,25530.404296875,433088.3125,411862.25,479859,407819.75,420818.65625,356107.8125,360606.625,260650.859375,241134.921875,238211.859375,220731.390625,223984.59375
445,462.5,472.5,"[C11H23N2O6S]+",311.12713,"C11H19NO6S_M+NH4",10532.7744140625,11051.181640625,10376.0751953125,8232.154296875,12608.427734375,10353.958984375,8039.7509765625,5014.7763671875,8954.068359375,10897.625,11839.3173828125,9165.64453125,12397.873046875,12769.0341796875,11294.9267578125,10736.935546875,9747.9931640625,12499.529296875,8415.7490234375,8213.2529296875,9839.974609375,7926.3720703125,10833.5380859375,10287.0341796875,10298.9892578125,11319.5263671875,12146.5146484375,8145.86572265625,8046.9189453125,10350.5810546875,9023.6474609375,8912.33984375,8163.85400390625,NA,NA,6290.19873046875,8041.53466796875,8323.021484375,9433.2822265625,9508.19140625,10948.763671875,11507.5703125,9964.0107421875,10761.5703125,10270.720703125,10209.701171875,8508.9521484375
446,350,357.5,"[C11H23NNaO6P]+",319.11552,"C11H23NO6P_M+Na",20141.662109375,11141.6513671875,27734.822265625,14359.373046875,19874.26171875,14526.78515625,14003.0107421875,16022.8212890625,13181.6044921875,12910.875,16770.4765625,15129.78515625,14041.5615234375,19493.052734375,12931.5947265625,10248.236328125,16334.5791015625,15981.7119140625,12938.888671875,13540.1904296875,21173.07421875,14317.4052734375,15254.6787109375,13243.20703125,18559.28125,12634.7802734375,17059.52734375,15008.4931640625,14044.3056640625,17639.46875,10978.0283203125,10143.7587890625,NA,NA,NA,9634.97265625,9331.4072265625,8370.7783203125,11199.6513671875,16257.388671875,10638.2158203125,10200.703125,14221.7568359375,14397.0859375,15288.09375,12799.84375,13175.43359375
447,257.5,262.5,"[C11H23NO6]+",265.15199,"C11H19O6_M+NH4",NA,NA,8471.716796875,11465.623046875,NA,NA,9197.869140625,8633.0693359375,NA,NA,NA,NA,9903.283203125,NA,NA,6919.35986328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12307.6162109375,NA,NA,NA,NA,NA,NA,16481.09765625,NA,10893.3466796875,14581.8271484375,19836.515625,16110.45703125,11399.7705078125,15138.748046875,10054.1474609375,NA,7574.375,NA,11164.072265625,NA
449,405,415,"[C11H24N3O2]+",230.1863,"C11H20N2O2_M+NH4; C11H23N3O2_M+H",61507.890625,50968.92578125,67135.4921875,51456.9375,6979.38720703125,38703.73828125,47588.90625,43632.90625,45866.4140625,32069.296875,56813.68359375,30497.845703125,43217.20703125,6266.0654296875,40094.18359375,33288.8828125,6626.37451171875,55931.48828125,43467.47265625,32220.583984375,34539.3046875,32506.6171875,21215.26171875,32429.4453125,55806.875,28532.41015625,52317.1171875,70442.15625,34044.51171875,50628.453125,30750.48828125,28080.529296875,11405.2119140625,NA,NA,41403.0546875,28438.67578125,38078.94140625,35488.9296875,31293.037109375,30915.90625,28545.7734375,32675.40625,9359.6630859375,29246.216796875,45795.56640625,31716.224609375
